YEAR	PEAK	FEB HIGH 	FEB LOW	JAN HIGH	JAN LOW	JAN RAIN	FEB RAIN	SNOWjf	EL NINO	LA NINA	GREEN BUDS	FLOR VISIBLE	EXTN OF FLOR	PEDUNCLE EL	PUFFY WHITE	JAN TEMP	FEB TEMP
2004	91	66	15	72	8	1.35	2.28	12	0	0	64	72	75	82	87	30.6	38.2
2005	99	64	20	71	12	3.31	1.63	9	0	0	66	81	90	93	94	36.1	39.6
2006	89	66	14	65	25	3.25	2.46	3	0	0	59	72	73	75	81	43.1	38.6
2007	91	59	10	73	15	2.46	2.22	10	1	0	64	79	84	86	87	40.7	30.9
2008	86	74	16	73	18	1.37	4.17	2	0	1	50	71	77	78	84	40	41
2009	91	72	15	51	8	2.68	0.35	2	0	0	62	71	77	82	86	31.7	39.8
2010	90	50	16	68	16	1.56	2.72	23	1	0	73	78	80	82	85	35.3	34.2
2011	88	77	19	59	17	2.25	2.12	9	0	1	59	67	75	78	81	33.7	41.8
2012	80	72	23	68	17	2.19	2.33	1	0	1	60	68	72	74	75	40.8	44.4
2013	99	60	18	72	15	2.53	1.67	0	0	0	70	76	85	90	94	40.3	38.4
2014	100	69	14	61	6	2.58	4.02	15	0	0	75	82	90	94	97	32.2	37.8
2015	100	68	5	67	12	3.73	1.68	13	0	0	77	91	94	96	98	35.6	30.3
2016	85	65	13	62	15	2.68	3.79	11	1	0	68	73	75	77	82	34.9	39.9
2017	84	77	23	72	15	2.75	0.68	1	0	0	55	60	65	67	81	42.1	47.7
2018	95	82	17	68	8	0.94	4.79	2	0	0	56	74	85	88	91	35.7	45.3
2019	91	74	18	64	10	3.3	3.52	9	0	0	64	76	82	84	88	37.2	42.2
2020	80	65	22	72	23	2.79	3.21	0	0	0	59	63	69	72	76	42.4	43.8
2021	87	60	25	58	24	1.93	4.66	3	0	1	70	75	81	83	85	38.6	37.8
2022	80	77	21	66	16	3.68	2.33	6	0	1	62	66	73	76	78	34.6	42.6
2023	82	81	16	69	29	1.65	2.08	0	0	0	54	60	66	70	77	45.2	46.7
2024	77	68	26	80	16	5.88	1.41	8	0	0	62	65	68	72	75	39.8	44.4
																	
median	89	68	17	68	15	2.58	2.33	6	0	0	62	72	77	82	85	37.2	39.9
mean	88.810	68.857	17.429	67.190	15.476	2.612	2.577	6.619	0.143	0.238	63.286	72.381	77.905	80.905	84.857	37.648	40.257
sd	7.019	7.977	5.036	6.478	6.030	1.079	1.222	6.095	0.359	0.436	7.058	7.639	8.111	8.160	7.002	4.061	4.626
																	
